MÃ,TÊN CÔNG TY,NGÀNH,NĂM,ROA,ROE,LỢI NHUẬN BIÊN,NỢ / VỐN CHỦ SỞ HỮU,NỢ / TỔNG TÀI SẢN,EBIT/TỔNG TÀI SẢN,CURRENT RATIO,CASH RATIO,EQUITY / TỔNG TÀI SẢN,TỶ LỆ VỐN CHỦ SỞ HỮU,VÒNG QUAY TỔNG TÀI SẢN,VÒNG QUAY PHẢI THU,KHẢ NĂNG THANH TOÁN LÃI VAY,DÒNG TIỀN / DOANH THU,TĂNG TRƯỞNG LNST,TĂNG TRƯỞNG DOANH THU,TĂNG TRƯỞNG TÀI SẢN,cluster_kmeans,Credit_Rating,financial_health
MDC,Than Mông Dương,Tài nguyên Cơ bản,2024,0.045120041,0.158064513,0.104681084,2.503199704,0.714546676,0.073757734,0.691819581,0.003900417,0.285453324,0.285453324,2.202662992,6.36629598,4.845548611,0.047355297,0.010393218,-0.03162318,0.079490979,1,B,Yếu
MDG,Xây dựng Miền Đông,Xây dựng và Vật liệu,2021,0.042666993,0.099153865,0.226309136,1.323900929,0.569689057,0.066193263,1.333572937,0.111815861,0.430310943,0.430310943,0.572437962,0.9494358,5.691347704,0.01787733,0.796030683,-0.221288976,0.056494622,4,BBB,Trung bình
MDG,Xây dựng Miền Đông,Xây dựng và Vật liệu,2022,0.054822282,0.12690546,0.192328035,1.314851836,0.568006909,0.075095545,1.373487015,0.127901955,0.431993091,0.431993091,0.914546431,1.474809073,5.566598962,0.009991032,0.376322425,0.711324816,0.071161897,4,BBB,Trung bình
MDG,Xây dựng Miền Đông,Xây dựng và Vật liệu,2023,-0.083585052,-0.146909135,0.201235724,1.811544375,0.644323593,-0.072741329,1.184401798,0.069229293,0.355676407,0.355676407,0.780342699,1.252810766,-3.526495003,-0.073804312,-2.68703909,-0.23230599,-0.100277586,1,B,Yếu
MDG,Xây dựng Miền Đông,Xây dựng và Vật liệu,2024,0.012363504,0.030936065,0.232367101,1.502208557,0.600353057,0.035376806,1.148914753,0.11830672,0.399646943,0.399646943,0.701433975,1.263966314,1.990656676,0.173818728,-1.110457187,-0.174480079,-0.081612146,4,BBB,Trung bình
MED,Dược Mediplantex,Y tế,2021,0.007231386,0.021849961,0.197368203,2.021545348,0.669043524,0.025468133,1.028638023,0.137963738,0.330956476,0.330956476,0.687109435,2.280178872,2.703030067,0.18027228,-0.851793217,-0.34038505,-0.042697475,1,B,Yếu
MED,Dược Mediplantex,Y tế,2022,0.008628711,0.018721342,0.195526892,1.169656812,0.539097615,0.017836624,1.213392986,0.215781508,0.460902385,0.460902385,0.574665035,2.397243754,2.487429856,-0.021421261,0.663725288,0.166127682,0.394303262,4,BBB,Trung bình
MED,Dược Mediplantex,Y tế,2023,0.019610609,0.035892465,0.206281337,0.830257529,0.453628801,0.034592953,1.26806513,0.160251469,0.546371199,0.546371199,0.672519763,2.462768414,3.840272198,-0.074721963,0.950208937,0.004213962,-0.141903802,4,BBB,Trung bình
MED,Dược Mediplantex,Y tế,2024,0.030125442,0.045896787,0.2086972,0.523522452,0.343626345,0.041356923,1.462444851,0.246049527,0.656373655,0.656373655,0.879273064,4.465261624,8.622283534,0.07832707,0.292809238,0.100299266,-0.158426396,2,AA,Khá
MEL,Thép Mê Lin,Tài nguyên Cơ bản,2021,0.089132109,0.246085511,0.157851703,1.760907533,0.637800257,0.135144353,1.379908349,0.016328511,0.362199743,0.362199743,0.972474017,7.044817134,5.576252352,0.095148653,6.550669611,-0.294685224,0.171732825,0,A,Trung bình
MEL,Thép Mê Lin,Tài nguyên Cơ bản,2022,0.008821097,0.02300301,0.056335594,1.607726734,0.616524237,0.042003969,1.422086783,0.03915467,0.383475763,0.383475763,1.202499659,9.234274224,1.337731466,0.012782501,-0.909927938,0.12540452,-0.089873625,1,B,Yếu
MEL,Thép Mê Lin,Tài nguyên Cơ bản,2023,0.006856436,0.017700931,0.070310998,1.581651929,0.612651113,0.051502138,1.4495739,0.020667415,0.387348887,0.387348887,1.034429838,8.31268028,1.183558211,-0.18881386,-0.216628592,-0.133022246,0.007840662,1,B,Yếu
MEL,Thép Mê Lin,Tài nguyên Cơ bản,2024,0.011114037,0.031252888,0.044064602,1.812019483,0.644383687,0.040761054,1.404826449,0.036860482,0.355616313,0.355616313,1.206668878,8.659170917,1.219571187,-0.023390861,0.822567465,0.311587559,0.124372503,1,B,Yếu
MHC,CTCP MHC,Hàng & Dịch vụ Công nghiệp,2021,0.033117353,0.08583703,0.167411144,1.591904944,0.614183382,0.068653484,4.0756483,0.521286805,0.385816618,0.385816618,0.016205624,0.055449461,2.444703665,-0.581637701,-42.44919128,0.049998899,0.696863227,4,BBB,Trung bình
MHC,CTCP MHC,Hàng & Dịch vụ Công nghiệp,2022,-0.026632223,-0.05950605,-0.033268107,1.234362873,0.552445123,0.017638814,3.553633827,0.129245124,0.447554877,0.447554877,0.04388898,0.081061914,0.386939432,2.292551735,-1.630500419,1.123358326,-0.215968388,4,BBB,Trung bình
MHC,CTCP MHC,Hàng & Dịch vụ Công nghiệp,2023,0.03563656,0.047352797,0.055785487,0.328770149,0.247424394,0.10298863,4.0756483,0.318081493,0.752575606,0.752575606,0.182559996,0.492627033,1.611368306,0.102084112,-1.834045728,1.592696233,-0.376693717,2,AA,Khá
MHC,CTCP MHC,Hàng & Dịch vụ Công nghiệp,2024,0.012541942,0.021322118,-0.01701327,0.700065022,0.411787204,0.036776641,3.41481341,0.070797594,0.588212796,0.588212796,0.015166313,0.041991454,1.714634453,-20.85643078,-0.539907746,-0.891394881,0.30730191,2,AA,Khá
MHL,Minh Hữu Liên,Tài nguyên Cơ bản,2021,-0.083585052,-0.146909135,0.023014154,3.870466216,0.842539404,-0.072741329,0.966340637,0.011849853,0.157460596,0.157460596,1.65349498,10.07381305,-2.514849142,-0.050352569,-27.84129081,-0.228453289,-0.167490109,1,B,Yếu
MIM,Khoáng sản và Cơ khí,Tài nguyên Cơ bản,2021,0.055412774,0.242421248,0.080488582,3.374826055,0.771419483,0.077247914,0.830208664,0.008268748,0.228580517,0.228580517,1.244536543,5.811202031,2.651687815,0.074030383,-2.261258991,0.883735646,0.147988017,1,B,Yếu
MIM,Khoáng sản và Cơ khí,Tài nguyên Cơ bản,2022,-0.083585052,-0.146909135,-0.038837472,3.870466216,0.84990133,-0.072741329,0.701010021,0.003752753,0.15009867,0.15009867,1.271885089,2.833801962,-2.546050332,0.190396088,-3.019693681,-0.205673454,-0.222753359,1,B,Yếu
